ariaDNE,function_all
0.06404,derived
0.06153,derived
0.063253,derived
0.067936,derived
0.06157,derived
0.059634,derived
0.05846,derived
0.060768,derived
0.059455,derived
0.058795,derived
0.071213,derived
0.068765,derived
0.067375,derived
0.052995,derived
0.054928,derived
0.051691,derived
0.074149,derived
0.071632,derived
0.072429,derived
0.068988,derived
0.069206,derived
0.062221,derived
0.060376,derived
0.062066,derived
0.063914,derived
0.062483,derived
0.070765,derived
0.060914,derived
0.062349,derived
0.065797,derived
0.06522,derived
0.065702,derived
0.059139,derived
0.065381,derived
0.057846,derived
0.056956,derived
0.067467,derived
0.056735,derived
0.059722,derived
0.057200,derived
0.055363,derived
0.075616,derived
0.076129,derived
0.085579,basal
0.084943,basal
0.082421,basal
0.099698,basal
0.081161,basal
0.088879,basal
0.077391,basal
0.077023,basal
0.071043,basal
0.083013,basal
0.078232,basal
0.085349,basal
0.087037,basal
0.084105,basal
0.083642,basal
0.08362,basal
0.084032,basal
0.07755,basal
0.097578,basal
0.103718,basal
0.094591,basal
0.102887,basal
0.099159,basal
